model,epoch,train_loss,val_loss,lr
lstm,1,0.010448,0.024985,9.94e-04
lstm,2,0.002311,0.017363,9.76e-04
lstm,3,0.001872,0.024701,9.46e-04
lstm,4,0.001281,0.027612,9.05e-04
lstm,5,0.001300,0.026086,8.54e-04
lstm,6,0.001183,0.035862,7.94e-04
lstm,7,0.001067,0.025467,7.27e-04
lstm,8,0.001008,0.019042,6.55e-04
lstm,9,0.000862,0.018441,5.79e-04
lstm,10,0.001048,0.018644,5.01e-04
lstm,11,0.000859,0.021801,4.22e-04
lstm,12,0.000784,0.014553,3.46e-04
lstm,13,0.000763,0.017438,2.74e-04
lstm,14,0.000719,0.026204,2.07e-04
lstm,15,0.000739,0.020779,1.47e-04
lstm,16,0.000653,0.017825,9.64e-05
lstm,17,0.000631,0.018647,5.54e-05
lstm,18,0.000567,0.019394,2.54e-05
lstm,19,0.000656,0.019307,7.15e-06
lstm,20,0.000637,0.019317,1.00e-03
lstm,21,0.000830,0.017614,9.98e-04
lstm,22,0.000788,0.010916,9.94e-04
lstm,23,0.001046,0.017723,9.86e-04
lstm,24,0.000878,0.013983,9.76e-04
lstm,25,0.000747,0.020855,9.62e-04
lstm,26,0.000775,0.020395,9.46e-04
lstm,27,0.000756,0.026766,9.26e-04
lstm,28,0.000771,0.029514,9.05e-04
lstm,29,0.000780,0.020901,8.80e-04
lstm,30,0.000695,0.019524,8.54e-04
lstm,31,0.000549,0.014121,8.25e-04
lstm,32,0.000564,0.014276,7.94e-04
lstm,33,0.000785,0.033098,7.61e-04
lstm,34,0.000837,0.026792,7.27e-04
lstm,35,0.000613,0.019044,6.92e-04
lstm,36,0.000601,0.016998,6.55e-04
lstm,37,0.000547,0.014587,6.17e-04
lstm,38,0.000562,0.015652,5.79e-04
lstm,39,0.000547,0.015283,5.40e-04
lstm,40,0.000467,0.019249,5.01e-04
lstm,41,0.000453,0.017306,4.61e-04
lstm,42,0.000540,0.019225,4.22e-04
transformer,1,0.008480,0.019663,9.94e-04
transformer,2,0.001399,0.030497,9.76e-04
transformer,3,0.000955,0.026691,9.46e-04
transformer,4,0.000868,0.039868,9.05e-04
transformer,5,0.000899,0.017001,8.54e-04
transformer,6,0.000730,0.018027,7.94e-04
transformer,7,0.000612,0.023255,7.27e-04
transformer,8,0.000561,0.018906,6.55e-04
transformer,9,0.000586,0.013895,5.79e-04
transformer,10,0.000648,0.025440,5.01e-04
transformer,11,0.000509,0.018710,4.22e-04
transformer,12,0.000472,0.013852,3.46e-04
transformer,13,0.000471,0.017332,2.74e-04
transformer,14,0.000383,0.016335,2.07e-04
transformer,15,0.000393,0.015543,1.47e-04
transformer,16,0.000403,0.016180,9.64e-05
transformer,17,0.000398,0.015924,5.54e-05
transformer,18,0.000420,0.015672,2.54e-05
transformer,19,0.000403,0.017651,7.15e-06
transformer,20,0.000406,0.016984,1.00e-03
transformer,21,0.000873,0.030591,9.98e-04
transformer,22,0.000644,0.019608,9.94e-04
transformer,23,0.000596,0.019214,9.86e-04
transformer,24,0.000526,0.018336,9.76e-04
transformer,25,0.000436,0.015392,9.62e-04
transformer,26,0.000369,0.013142,9.46e-04
